pack_category,pack_name,korean,translation
🇻🇳 TC4,B1 - 유행,멋쟁이,người sành điệu
🇻🇳 TC4,B1 - 유행,상표/브랜드,thương hiệu
🇻🇳 TC4,B1 - 유행,액세서리,"đồ trang sức, phụ kiện"
🇻🇳 TC4,B1 - 유행,패션 감각,cảm nhận về thời trang
🇻🇳 TC4,B1 - 유행,신상품,sản phẩm mới
🇻🇳 TC4,B1 - 유행,의상/복장,y phục/ trang phục
🇻🇳 TC4,B1 - 유행,패션 소품,sản phẩm thời trang
🇻🇳 TC4,B1 - 유행,디자인,"mẫu mã, thiết kế"
🇻🇳 TC4,B1 - 유행,옷맵시 / 스타일,"kiểu dáng, phong cách thời trang"
🇻🇳 TC4,B1 - 유행,개성,cá tính
🇻🇳 TC4,B1 - 유행,복고풍,phong trào quay lại những kiểu mẫu cũ
🇻🇳 TC4,B1 - 유행,머리를 하다,"làm đầu, làm tóc"
🇻🇳 TC4,B1 - 유행,염색을 하다,nhuộm tóc
🇻🇳 TC4,B1 - 유행,파마/ 웨이브,"làm đầu xoăn, uốn tóc"
🇻🇳 TC4,B1 - 유행,피부 관리,chăm sóc da
🇻🇳 TC4,B1 - 유행,마사지를 하다,mát xa
🇻🇳 TC4,B1 - 유행,화장법/메이크업,cách trang điểm
🇻🇳 TC4,B1 - 유행,손톱 관리 / 네일 케어,chăm sóc móng tay
🇻🇳 TC4,B1 - 유행,성형수술,phẫu thuật thẩm mỹ
🇻🇳 TC4,B1 - 유행,유행을 이끌다,tạo mốt
🇻🇳 TC4,B1 - 유행,유행에 민감하다,nhạy cảm với mốt
🇻🇳 TC4,B1 - 유행,유행을 타다,"theo mốt, đúng mốt"
🇻🇳 TC4,B1 - 유행,유행을 앞서가다,đi trước mốt
🇻🇳 TC4,B1 - 유행,유행을 따르다,chạy theo mốt
🇻🇳 TC4,B1 - 유행,유행에 뒤처지다,lỗi mốt
🇻🇳 TC4,B1 - 유행,최신 유행,"thịnh hành nhất, mốt nhất"
🇻🇳 TC4,B1 - 유행,대유행,trào lưu mốt
🇻🇳 TC4,B1 - 유행,유행어,từ ngữ đang thịnh hành
🇻🇳 TC4,B1 - 유행,세련되다,"cao cấp, sang trọng, hợp thời trang"
🇻🇳 TC4,B1 - 유행,촌스럽다,"nhà quê, quê mùa"
🇻🇳 TC4,B1 - 유행,화려하다,"rực rỡ, sặc sỡ"
🇻🇳 TC4,B1 - 유행,단순하다,đơn giản
🇻🇳 TC4,B1 - 유행,평범하다,bình thường
🇻🇳 TC4,B1 - 유행,단정하다,"đoan chính, đứng đắn"
🇻🇳 TC4,B1 - 유행,차려입다,chỉnh tề quần áo
🇻🇳 TC4,B1 - 유행,어울리다,"phù hợp, hợp"
🇻🇳 TC4,B1 - 유행,감각이 있다,có khiếu thẩm mỹ
🇻🇳 TC4,B2 - 집안일,가사,"công việc nhà, việc trong gia đình"
🇻🇳 TC4,B2 - 집안일,전업주부,người nội trợ
🇻🇳 TC4,B2 - 집안일,가사 노동,làm việc nhà
🇻🇳 TC4,B2 - 집안일,가사 도우미,người giúp việc trong gia đình
🇻🇳 TC4,B2 - 집안일,집안일을 하다,làm việc nhà
🇻🇳 TC4,B2 - 집안일,살림을 하다,làm nội trợ
🇻🇳 TC4,B2 - 집안일,가사를 전담하다,chuyên đảm trách công việc nhà
🇻🇳 TC4,B2 - 집안일,가사를 분담하다,phân công công việc nhà
🇻🇳 TC4,B2 - 집안일,빨랫비누/세제,xà phòng giặt/chất giặt tẩy
🇻🇳 TC4,B2 - 집안일,다리미,bàn là
🇻🇳 TC4,B2 - 집안일,손빨래,giặt tay
🇻🇳 TC4,B2 - 집안일,애벌빨래,giặt thô
🇻🇳 TC4,B2 - 집안일,빨래를 하다,"giặt, giặt giũ"
