pack_category,pack_name,korean,translation
Intermediate 3,B1 - School Life,학기,"semester"
Intermediate 3,B1 - School Life,과목,"subject"
Intermediate 3,B1 - School Life,학점,"credit (academic)"
Intermediate 3,B1 - School Life,강의실,"classroom/lecture hall"
Intermediate 3,B1 - School Life,휴강,"class cancellation"
Intermediate 3,B1 - School Life,종강,"end of course/final lecture"
Intermediate 3,B1 - School Life,중간고사,"midterm exam"
Intermediate 3,B1 - School Life,기말고사,"final exam"
Intermediate 3,B1 - School Life,학과 사무실,"department office"
Intermediate 3,B1 - School Life,조교,"teaching assistant"
Intermediate 3,B1 - School Life,수강하다,"to take a course"
Intermediate 3,B1 - School Life,수강 신청하다,"to register for classes"
Intermediate 3,B1 - School Life,강의를 듣다,"to attend a lecture/listen to a lecture"
Intermediate 3,B1 - School Life,청강하다,"to audit a class"
Intermediate 3,B1 - School Life,보고서를 제출하다,"to submit a report"
Intermediate 3,B1 - School Life,시험을 보다,"to take an exam"
Intermediate 3,B1 - School Life,등록금,"tuition fee"
Intermediate 3,B1 - School Life,신학기,"new semester"
Intermediate 3,B1 - School Life,새내기 = 신입생,"freshman/new student"
Intermediate 3,B1 - School Life,재학생,"enrolled student"
Intermediate 3,B1 - School Life,졸업생,"graduate"
Intermediate 3,B1 - School Life,동아리,"club/student circle"
Intermediate 3,B1 - School Life,입학하다,"to enter school"
Intermediate 3,B1 - School Life,졸업하다,"to graduate"
Intermediate 3,B1 - School Life,등록하다,"to register/enroll"
Intermediate 3,B1 - School Life,장학금을 받다,"to receive a scholarship"
Intermediate 3,B1 - School Life,입학식,"entrance ceremony"
Intermediate 3,B1 - School Life,오리엔테이션,"orientation"
Intermediate 3,B1 - School Life,졸업식,"graduation ceremony"
Intermediate 3,B1 - School Life,체육대회,"sports day/athletic meet"
Intermediate 3,B1 - School Life,MT,"membership training (retreat)"
Intermediate 3,B1 - School Life,발표회,"presentation/exhibition"
Intermediate 3,B1 - School Life,축제,"festival"
Intermediate 3,B1 - School Life,사은회,"teacher appreciation party"
Intermediate 3,B1 - School Life,신입생 환영회,"welcome party for freshmen"
Intermediate 3,B1 - School Life,졸업생 환송회,"farewell party for graduates"
Intermediate 3,B2 - Personal Relationships,대인 관계,"interpersonal relationships"
Intermediate 3,B2 - Personal Relationships,마음이 넓다,"to be broad-minded/generous"
Intermediate 3,B2 - Personal Relationships,친절하다,"to be kind/friendly"
Intermediate 3,B2 - Personal Relationships,인기가 있다,"to be popular"
Intermediate 3,B2 - Personal Relationships,성격이 좋다,"to have a good personality"
Intermediate 3,B2 - Personal Relationships,대인 관계가 좋다,"to have good interpersonal relationships"
Intermediate 3,B2 - Personal Relationships,사람을 사귀다,"to make friends/socialize"
Intermediate 3,B2 - Personal Relationships,부탁하다,"to ask for a favor"
Intermediate 3,B2 - Personal Relationships,부탁을 받다,"to be asked for a favor"
Intermediate 3,B2 - Personal Relationships,부탁을 들어주다,"to grant a favor"
Intermediate 3,B2 - Personal Relationships,부탁을 거절하다,"to refuse a favor"
Intermediate 3,B2 - Personal Relationships,도움을 청하다,"to ask for help"
Intermediate 3,B2 - Personal Relationships,거절하다,"to refuse/decline"
Intermediate 3,B2 - Personal Relationships,거절을 당하다,"to be rejected/refused"
Intermediate 3,B2 - Personal Relationships,안부를 묻다 / 여쭙다,"to ask after someone/greet"
Intermediate 3,B2 - Personal Relationships,안부 편지를 보내다,"to send a greeting letter"
Intermediate 3,B2 - Personal Relationships,안부를 전하다,"to give one's regards"
Intermediate 3,B2 - Personal Relationships,찾아뵙다,"to visit (honorific)"
Intermediate 3,B2 - Personal Relationships,안부 전화를 하다,"to make a greeting call"
Intermediate 3,B2 - Personal Relationships,송별회,"farewell party"
Intermediate 3,B2 - Personal Relationships,동창회,"alumni reunion"
Intermediate 3,B2 - Personal Relationships,송년회,"year-end party"
Intermediate 3,B2 - Personal Relationships,동호회,"hobby club/society"
Intermediate 3,B2 - Personal Relationships,회식,"company dinner/team dinner"
Intermediate 3,B2 - Personal Relationships,야유회,"picnic/excursion"
Intermediate 3,B2 - Personal Relationships,정기 모임,"regular meeting"
Intermediate 3,B2 - Personal Relationships,회비,"membership fee"
Intermediate 3,B2 - Personal Relationships,참석,"attendance"
Intermediate 3,B2 - Personal Relationships,연락,"contact/communication"
Intermediate 3,B2 - Personal Relationships,취소,"cancellation"
Intermediate 3,B2 - Personal Relationships,변경,"change/alteration"
Intermediate 3,B3 - Health,건강하다,"to be healthy"
Intermediate 3,B3 - Health,몸이 약하다,"to be physically weak"
Intermediate 3,B3 - Health,안색이 좋다,"to look well/have a good complexion"
Intermediate 3,B3 - Health,안색이 나쁘다,"to look unwell/have a pale complexion"
Intermediate 3,B3 - Health,건강을 지키다,"to stay healthy/maintain health"
Intermediate 3,B3 - Health,건강을 유지하다,"to maintain health"
Intermediate 3,B3 - Health,몸이 안 좋다,"to not feel well/be in bad health"
Intermediate 3,B3 - Health,건강을 잃다,"to lose one's health"
Intermediate 3,B3 - Health,건강에 좋다,"to be good for health"
Intermediate 3,B3 - Health,건강에 나쁘다,"to be bad for health"
Intermediate 3,B3 - Health,피곤하다,"to be tired"
Intermediate 3,B3 - Health,과로하다,"to overwork"
Intermediate 3,B3 - Health,힘들다,"to be difficult/exhausting"
Intermediate 3,B3 - Health,스트레스를 받다,"to be stressed"
Intermediate 3,B3 - Health,쉬다,"to rest"
Intermediate 3,B3 - Health,휴식을 취하다,"to take a rest"
Intermediate 3,B3 - Health,피로를 풀다,"to relieve fatigue"
Intermediate 3,B3 - Health,스트레스를 풀다,"to relieve stress"
Intermediate 3,B3 - Health,휴가를 가다,"to go on vacation"
Intermediate 3,B3 - Health,가벼운 운동을 하다,"to do light exercise"
Intermediate 3,B3 - Health,잠을 자다,"to sleep"
Intermediate 3,B3 - Health,지치다,"to be exhausted/worn out"
Intermediate 3,B4 - Shopping,상의/하의,"tops / bottoms"
Intermediate 3,B4 - Shopping,숙녀복,"women's clothing"
Intermediate 3,B4 - Shopping,신사복,"men's clothing"
Intermediate 3,B4 - Shopping,아동복,"children's clothing"
Intermediate 3,B4 - Shopping,겉옷/속옷,"outerwear / underwear"
Intermediate 3,B4 - Shopping,정장,"formal suit"
Intermediate 3,B4 - Shopping,캐주얼,"casual wear"
Intermediate 3,B4 - Shopping,교복,"school uniform"
Intermediate 3,B4 - Shopping,운동복,"sportswear"
Intermediate 3,B4 - Shopping,등산복,"hiking clothes"
Intermediate 3,B4 - Shopping,쇼핑센터,"shopping center"
Intermediate 3,B4 - Shopping,할인 매장,"discount store"
Intermediate 3,B4 - Shopping,인터넷 쇼핑,"online shopping"
Intermediate 3,B4 - Shopping,홈쇼핑,"home shopping"
Intermediate 3,B4 - Shopping,배송료,"delivery fee"
Intermediate 3,B4 - Shopping,배송하다,"to deliver"
Intermediate 3,B4 - Shopping,주문하다,"to order"
Intermediate 3,B4 - Shopping,반품하다,"to return (goods)"
Intermediate 3,B4 - Shopping,잘 맞다,"to fit well"
Intermediate 3,B4 - Shopping,헐렁하다,"to be loose/baggy"
Intermediate 3,B4 - Shopping,끼다,"to be tight"
Intermediate 3,B4 - Shopping,치수가 크다 / 작다,"size is big / small"
Intermediate 3,B4 - Shopping,허리가 크다 / 작다,"waist is big / small"
Intermediate 3,B4 - Shopping,소매가 길다 / 짧다,"sleeves are long / short"
Intermediate 3,B4 - Shopping,교환,"exchange"
Intermediate 3,B4 - Shopping,환불,"refund"
Intermediate 3,B4 - Shopping,상표,"trademark/brand label"
Intermediate 3,B4 - Shopping,영수증,"receipt"
Intermediate 3,B4 - Shopping,질이 좋다 / 나쁘다,"quality is good / bad"
Intermediate 3,B4 - Shopping,색상이 진하다/연하다,"color is dark / light"
Intermediate 3,B4 - Shopping,무난하다,"to be decent/plain/okay"
Intermediate 3,B4 - Shopping,어울리다,"to suit/match"
Intermediate 3,B4 - Shopping,유행하다,"to be in fashion/trend"
Intermediate 3,B4 - Shopping,유행에 뒤떨어지다,"to be out of fashion"
Intermediate 3,B4 - Shopping,유행이 지나다,"to be out of style"
Intermediate 3,B4 - Shopping,마음에 들다 / 안 들다,"to like / not like"
Intermediate 3,B5 - Cooking,한식,"Korean food"
Intermediate 3,B5 - Cooking,양식,"Western food"
Intermediate 3,B5 - Cooking,중식,"Chinese food"
Intermediate 3,B5 - Cooking,한국 음식,"Korean food"
Intermediate 3,B5 - Cooking,탕,"soup"
Intermediate 3,B5 - Cooking,찌개,"stew"
Intermediate 3,B5 - Cooking,볶음,"stir-fry"
Intermediate 3,B5 - Cooking,간식,"snack"
Intermediate 3,B5 - Cooking,조림,"braised dish"
