pack_category,pack_name,korean,translation
Trung cấp 3,B1 - Học đường,학기,"học kỳ"
Trung cấp 3,B1 - Học đường,과목,"môn học"
Trung cấp 3,B1 - Học đường,학점,"tín chỉ"
Trung cấp 3,B1 - Học đường,강의실,"phòng học"
Trung cấp 3,B1 - Học đường,휴강,"nghỉ dạy"
Trung cấp 3,B1 - Học đường,종강,"kết thúc khóa học, kết thúc môn học"
Trung cấp 3,B1 - Học đường,중간고사,"thi giữa kỳ"
Trung cấp 3,B1 - Học đường,기말고사,"thi cuối kỳ"
Trung cấp 3,B1 - Học đường,학과 사무실,"văn phòng khoa"
Trung cấp 3,B1 - Học đường,조교,"giáo vụ, sinh viên phụ tá cho giáo sư"
Trung cấp 3,B1 - Học đường,수강하다,"thụ giảng, học"
Trung cấp 3,B1 - Học đường,수강 신청하다,"đăng ký học"
Trung cấp 3,B1 - Học đường,강의를 듣다,"nghe giảng, dự thính"
Trung cấp 3,B1 - Học đường,청강하다,"nghe giảng"
Trung cấp 3,B1 - Học đường,보고서를 제출하다,"nộp báo cáo"
Trung cấp 3,B1 - Học đường,시험을 보다,"thi"
Trung cấp 3,B1 - Học đường,등록금,"tiền đăng ký học"
Trung cấp 3,B1 - Học đường,신학기,"học kỳ mới"
Trung cấp 3,B1 - Học đường,새내기 = 신입생,"học sinh mới"
Trung cấp 3,B1 - Học đường,재학생,"học sinh đang học"
Trung cấp 3,B1 - Học đường,졸업생,"học sinh tốt nghiệp"
Trung cấp 3,B1 - Học đường,동아리,"câu lạc bộ"
Trung cấp 3,B1 - Học đường,입학하다,"nhập học"
Trung cấp 3,B1 - Học đường,졸업하다,"tốt nghiệp"
Trung cấp 3,B1 - Học đường,등록하다,"đăng ký"
Trung cấp 3,B1 - Học đường,장학금을 받다,"nhận học bổng"
Trung cấp 3,B1 - Học đường,입학식,"lễ khai giảng, lễ nhập học"
Trung cấp 3,B1 - Học đường,오리엔테이션,"giới thiệu định hướng"
Trung cấp 3,B1 - Học đường,졸업식,"lễ tốt nghiệp"
Trung cấp 3,B1 - Học đường,체육대회,"đại hội thể thao"
Trung cấp 3,B1 - Học đường,MT,"dã ngoại tập thể (membership training)"
Trung cấp 3,B1 - Học đường,발표회,"buổi thuyết trình"
Trung cấp 3,B1 - Học đường,축제,"lễ hội"
Trung cấp 3,B1 - Học đường,사은회,"lễ cảm ơn, lễ cảm ơn thấy cô"
Trung cấp 3,B1 - Học đường,신입생 환영회,"lễ đón sinh viên mới"
Trung cấp 3,B1 - Học đường,졸업생 환송회,"lễ tiễn sinh viên tốt nghiệp"
Trung cấp 3,B2 - Quan hệ cá nhân,대인 관계,"quan hệ xã hội"
Trung cấp 3,B2 - Quan hệ cá nhân,마음이 넓다,"rộng lượng"
Trung cấp 3,B2 - Quan hệ cá nhân,친절하다,"thân thiện, tử tế"
Trung cấp 3,B2 - Quan hệ cá nhân,인기가 있다,"có tiếng, nổi tiếng"
