pack_category,pack_name,korean,translation
Sơ cấp 2,B1 - Gặp gỡ,남편,"chồng"
Sơ cấp 2,B1 - Gặp gỡ,아내,"vợ"
Sơ cấp 2,B1 - Gặp gỡ,선배,"tiền bối"
Sơ cấp 2,B1 - Gặp gỡ,후배,"hậu bối"
Sơ cấp 2,B1 - Gặp gỡ,주인,"chủ nhân"
Sơ cấp 2,B1 - Gặp gỡ,손님,"khách"
Sơ cấp 2,B1 - Gặp gỡ,상사,"cấp trên"
Sơ cấp 2,B1 - Gặp gỡ,부하,"cấp dưới"
Sơ cấp 2,B1 - Gặp gỡ,초대하다,"mời"
Sơ cấp 2,B1 - Gặp gỡ,초대를 받다,"nhận lời mời"
Sơ cấp 2,B1 - Gặp gỡ,방문하다,"thăm hỏi"
Sơ cấp 2,B1 - Gặp gỡ,소개하다,"giới thiệu"
Sơ cấp 2,B1 - Gặp gỡ,소개를 받다,"được giới thiệu"
Sơ cấp 2,B1 - Gặp gỡ,인사하다,"chào hỏi"
Sơ cấp 2,B1 - Gặp gỡ,잘 먹겠습니다,"Tôi sẽ ăn rất ngon"
Sơ cấp 2,B1 - Gặp gỡ,잘 먹었습니다,"Tôi đã ăn rất ngon"
Sơ cấp 2,B1 - Gặp gỡ,실례하겠습니다,"Xin lỗi"
Sơ cấp 2,B1 - Gặp gỡ,실례했습니다,"Xin lỗi đã làm phiền"
Sơ cấp 2,B2 - Hứa hẹn,약속하다,"hứa hẹn"
Sơ cấp 2,B2 - Hứa hẹn,약속을 지키다,"giữ lời hứa"
Sơ cấp 2,B2 - Hứa hẹn,약속을 안 지키다,"không giữ lời hứa"
Sơ cấp 2,B2 - Hứa hẹn,약속을 못 지키다,"thất hứa"
Sơ cấp 2,B2 - Hứa hẹn,약속을 취소하다,"hủy cuộc hẹn"
Sơ cấp 2,B2 - Hứa hẹn,약속을 바꾸다,"thay đổi cuộc hẹn"
Sơ cấp 2,B2 - Hứa hẹn,기다리다,"chờ đợi"
Sơ cấp 2,B2 - Hứa hẹn,만나다,"gặp"
Sơ cấp 2,B2 - Hứa hẹn,헤어지다,"chia tay"
Sơ cấp 2,B2 - Hứa hẹn,연락하다,"liên lạc"
Sơ cấp 2,B2 - Hứa hẹn,커피숍,"quán cà phê"
Sơ cấp 2,B2 - Hứa hẹn,박물관,"viện bảo tàng"
Sơ cấp 2,B2 - Hứa hẹn,미술관,"bảo tàng mỹ thuật"
Sơ cấp 2,B2 - Hứa hẹn,만남의 광장,"quảng trường gặp gỡ"
Sơ cấp 2,B2 - Hứa hẹn,호텔,"khách sạn"
Sơ cấp 2,B2 - Hứa hẹn,백화점,"trung tâm mua sắm cao cấp"
Sơ cấp 2,B2 - Hứa hẹn,안내 데스크,"bàn hướng dẫn"
Sơ cấp 2,B2 - Hứa hẹn,정류장,"trạm dừng xe buýt"
Sơ cấp 2,B2 - Hứa hẹn,쇼핑몰,"khu mua sắm"
Sơ cấp 2,B3 - Mua sắm,벌,"bộ (quần áo)"
Sơ cấp 2,B3 - Mua sắm,켤레,"đôi (giày, tất)"
Sơ cấp 2,B3 - Mua sắm,쌍,"đôi (khuyên tai)"
Sơ cấp 2,B3 - Mua sắm,장,"tờ, trang"
Sơ cấp 2,B3 - Mua sắm,송이,"đóa, chùm"
Sơ cấp 2,B3 - Mua sắm,바구니,"giỏ, rổ"
Sơ cấp 2,B3 - Mua sắm,상자,"hộp"
Sơ cấp 2,B3 - Mua sắm,봉지,"túi ni lông"
Sơ cấp 2,B3 - Mua sắm,찾다,"tìm kiếm"
Sơ cấp 2,B3 - Mua sắm,마음에 들다,"vừa ý"
Sơ cấp 2,B3 - Mua sắm,맞다,"vừa"
Sơ cấp 2,B3 - Mua sắm,어울리다,"phù hợp"
Sơ cấp 2,B3 - Mua sắm,주문하다,"đặt hàng"
Sơ cấp 2,B3 - Mua sắm,계산하다,"tính tiền"
Sơ cấp 2,B3 - Mua sắm,교환하다,"đổi đồ"
Sơ cấp 2,B3 - Mua sắm,환불하다,"trả đồ"
Sơ cấp 2,B3 - Mua sắm,짧다,"ngắn"
Sơ cấp 2,B3 - Mua sắm,길다,"dài"
Sơ cấp 2,B3 - Mua sắm,많다,"nhiều"
Sơ cấp 2,B3 - Mua sắm,적다,"ít"
Sơ cấp 2,B3 - Mua sắm,두껍다,"dày"
Sơ cấp 2,B3 - Mua sắm,얇다,"mỏng"
Sơ cấp 2,B3 - Mua sắm,무겁다,"nặng"
Sơ cấp 2,B3 - Mua sắm,가볍다,"nhẹ"
Sơ cấp 2,B3 - Mua sắm,화려하다,"sặc sỡ"
Sơ cấp 2,B3 - Mua sắm,단순하다,"đơn giản"
